group_no,shared_profile_url,kol_id,platform,handle,gen_name,follower_count,actual_profile_url,keep_or_delete (กรอกเอง),notes (กรอกเอง)
25,facebook.com/jampongandbros,528,Facebook,จัมปงแอนด์โบรว์_VDO,JampongAndBrowVDO,13000,https://www.facebook.com/jampongandbros,,
25,facebook.com/jampongandbros,527,Facebook,จัมปงแอนด์โบรว์,jampongandbros,,https://www.facebook.com/jampongandbros,,
26,facebook.com/CHARMMYKEKIEZ,538,Facebook,ชาร์มมี่ กีกี้,,45000,https://www.facebook.com/CHARMMYKEKIEZ?__cft__%5B0%5D=AZZDm2x4OjGnitde1qnCRm3jU6eblD3tqMvg_eILLrjBGFGLhav8bEfBsAcqxESCSitg6jWfZ8LXo0VSfeStKzYPoclKs2YEyAuB4mTwT8at09EN6Qq03kidUsJxW60nRlJJ72VQxUqqXzvbmV9PUTdmVBln5Coe3H2UMDCjYifHnjLdNnhiEWBcJaYFtAzso7mp1OyVqN24YFUIjHauK7jA&__tn__=-%5DC%2CP-R,,
26,facebook.com/CHARMMYKEKIEZ,537,Facebook,ชาร์มกีกี้,Chramkiki,43000,https://www.facebook.com/CHARMMYKEKIEZ,,
27,facebook.com/profile.php?id=100078269920436,818,Facebook,𝙆𝙖𝙧𝙣 𝙎𝙩𝙤𝙧𝙮 ; บ้านของกาญจน์,KarnStoryBaankhongKarn,48000,https://www.facebook.com/profile.php?id=100078269920436,,
27,facebook.com/profile.php?id=100078269920436,580,Facebook,บ้านของกาญจน์,bankhongkarn,,https://www.facebook.com/profile.php?id=100078269920436,,
27,facebook.com/profile.php?id=100078269920436,581,Facebook,บ้านของกาญจน์_VDO,BaankhongkanVDO,,https://www.facebook.com/profile.php?id=100078269920436,,
28,facebook.com/ourhouse.th,821,Facebook,𝙊𝙪𝙧 𝙝𝙤𝙪𝙨𝙚 : บ้านนี้มีเรา,OurhouseBaanNeeMeeRao,122000,https://www.facebook.com/ourhouse.th,,
28,facebook.com/ourhouse.th,588,Facebook,บ้านนี้มีเรา,Ourhouse,120000,https://www.facebook.com/ourhouse.th,,
28,facebook.com/ourhouse.th,822,Facebook,𝙊𝙪𝙧 𝙝𝙤𝙪𝙨𝙚 : บ้านนี้มีเรา-VDO,OurhouseBannuemeeraoVDO,120000,https://www.facebook.com/ourhouse.th,,
29,facebook.com/mamalikescafes,605,Facebook,ป๊าม๊าชอบอยู่บ้าน,mamalikescafes,74000,https://www.facebook.com/mamalikescafes/,,
29,facebook.com/mamalikescafes,607,Facebook,ป๊าม๊าอยู่บ้าน VDO,PaMaYuBanVDO,72000,https://www.facebook.com/mamalikescafes,,
29,facebook.com/mamalikescafes,606,Facebook,ป๊าม๊าอยู่บ้าน,,24000,https://www.facebook.com/mamalikescafes/,,
30,facebook.com/porbaanreview,630,Facebook,พ่อบ้านรีวิว Lazada & Shopee,,92000,https://www.facebook.com/porbaanreview,,
30,facebook.com/porbaanreview,631,Facebook,พ่อบ้านรีวิว Lazada & Shopee_VDO,PhobanReviewLazadaShopeeVDO,91000,https://www.facebook.com/porbaanreview,,
31,facebook.com/profile.php?id=100083420763172,647,Facebook,มีตังค์ไหมครับพ่อ VDO,MeetangmaikrubporVDO,11000,https://www.facebook.com/profile.php?id=100083420763172,,
31,facebook.com/profile.php?id=100083420763172,648,Facebook,มีตังค์ไหมครับพ่อ_VDO,MeatangmaikhrapporVDO,11000,https://www.facebook.com/profile.php?id=100083420763172,,
32,facebook.com/bonamydaughter,652,Facebook,ยัยหมวยโบน่า,,13000,https://www.facebook.com/bonamydaughter?__cft__%5B0%5D=AZahLTM8fDZyMcBAe_uc7UgGq_V4uPCMX3ool0X6YnJVyK41KVZqu_BmfNFksP6t9xcVZkMn_Iu5SFF7ad2_3OlH4hgdTvuuFXN-fLmAK3RVn4n-QqlYX7p6VLYSHr1UZkX9-c_Bk7Sp1QANwD7K5vL8HIXRYOWS5Ecr6a-wM0Wo7TZjF-rr72KRlakBJ1Z0tAI&__tn__=-UC%2CP-R,,
32,facebook.com/bonamydaughter,653,Facebook,ยัยหมวยโบรา,bonamydaughter,,https://www.facebook.com/bonamydaughter,,
33,facebook.com/fun.bygreen,742,Facebook,เลี้ยงลูกสนุกดี By เเม่กรีน VDO,LiangluksanukdibymaegreenVDO,372000,https://www.facebook.com/fun.bygreen,,
33,facebook.com/fun.bygreen,743,Facebook,เลี้ยงลูกสนุกดีVDO,LiangluksanookdeeVDO,370000,https://www.facebook.com/fun.bygreen,,
34,facebook.com/lokbaiyai.th,802,Facebook,โลกใบใหญ่ของอองรี_Photo,LokBaiYaiKhongHenriPhoto,210000,https://www.facebook.com/lokbaiyai.th?__cft__%5B0%5D=AZZEiPLEdvr05PnXHIh5shFcIUn_bCUvXRw3XfZO5rKFKvCLHroLP-Abfln2FWiGvlzupEqJheDUzmIF2aanirOvXiseTYCJaPXvRDLUVblQgJMuJ6NJ_Y42Sq1iTnmAXOeshM9CSsasvGaHGCVfzOke359UsGpucH88l_tRvb-5lRAjcI_skRB0yretQMhQVLA&__tn__=-UC%2CP-R,,
34,facebook.com/lokbaiyai.th,801,Facebook,โลกใบใหญ่ของอองรี,,206000,https://www.facebook.com/lokbaiyai.th,,
